iso3c;long;lat;region;country;country_weapons;country_migrations;country_hdi
PNG;147.194;-9.47357;East Asia & Pacific;Papua New Guinea;Papua New Guinea;Papua New Guinea; Papua New Guinea
PRY;-57.6362;-25.3005;Latin America & Caribbean ;Paraguay;Paraguay;Paraguay; Paraguay
PER;-77.0465;-12.0931;Latin America & Caribbean ;Peru;Peru;Peru; Peru
PHL;121.035;14.5515;East Asia & Pacific;Philippines;Philippines;Philippines; Philippines
PHL;121.035;14.5515;East Asia & Pacific;Philippines;MNLF (Philippines)*;;
POL;21.02;52.26;Europe & Central Asia;Poland;Poland;Poland; Poland
PRT;-9.13552;38.7072;Europe & Central Asia;Portugal;Portugal;Portugal; Portugal
PRT;-9.13552;38.7072;Europe & Central Asia;Portugal;FRELIMO (Portugal)*;;
PRT;-9.13552;38.7072;Europe & Central Asia;Portugal;PAIGC (Portugal)*;;
PRT;-9.13552;38.7072;Europe & Central Asia;Portugal;MPLA (Portugal)*;;
PRI;-66;18.23;Latin America & Caribbean ;Puerto Rico;;Puerto Rico;
QAT;51.5082;25.2948;Middle East & North Africa;Qatar;Qatar;Qatar; Qatar
ROU;26.0979;44.4479;Europe & Central Asia;Romania;Romania;Romania; Romania
RUS;37.6176;55.7558;Europe & Central Asia;Russian Federation;Russia;Russian Federation; Russian Federation
RWA;30.0587;-1.95325;Sub-Saharan Africa ;Rwanda;Rwanda;Rwanda; Rwanda
RWA;30.0587;-1.95325;Sub-Saharan Africa ;Rwanda;RPF (Rwanda)*;;
WSM;-171.752;-13.8314;East Asia & Pacific;Samoa;Samoa;Samoa; Samoa
SMR;12.4486;43.9322;Europe & Central Asia;San Marino;;San Marino;
STP;6.6071;0.20618;Sub-Saharan Africa ;Sao Tome and Principe;;Sao Tome and Principe; Sao Tome and Principe
SAU;46.6977;24.6748;Middle East & North Africa;Saudi Arabia;Saudi Arabia;Saudi Arabia; Saudi Arabia
SEN;-17.4734;14.7247;Sub-Saharan Africa ;Senegal;Senegal;Senegal; Senegal
SRB;20.4656;44.8024;Europe & Central Asia;Serbia;Serbia;Serbia; Serbia
SYC;55.4466;-4.6309;Sub-Saharan Africa ;Seychelles;Seychelles;Seychelles; Seychelles
SLE;-13.2134;8.4821;Sub-Saharan Africa ;Sierra Leone;Sierra Leone;Sierra Leone; Sierra Leone
SLE;-13.2134;8.4821;Sub-Saharan Africa ;Sierra Leone;RUF (Sierra Leone)*;;
SGP;103.85;1.28941;East Asia & Pacific;Singapore;Singapore;Singapore; Singapore
SXM;;;Latin America & Caribbean ;Sint Maarten (Dutch part);;Sint Maarten (Dutch part);
SVK;17.1073;48.1484;Europe & Central Asia;Slovak Republic;Slovakia;Slovakia; Slovakia
SVN;14.5044;46.0546;Europe & Central Asia;Slovenia;Slovenia;Slovenia; Slovenia
SLB;159.949;-9.42676;East Asia & Pacific;Solomon Islands;Solomon Islands;Solomon Islands; Solomon Islands
SOM;45.3254;2.07515;Sub-Saharan Africa ;Somalia;Somalia;;
SOM;45.3254;2.07515;Sub-Saharan Africa ;Somalia;SNA (Somalia)*;;
SOM;45.3254;2.07515;Sub-Saharan Africa ;Somalia;UIC (Somalia)*;Somalia;
ZAF;28.1871;-25.746;Sub-Saharan Africa ;South Africa;South Africa;South Africa;
ZAF;28.1871;-25.746;Sub-Saharan Africa ;South Africa;ANC (South Africa)*;; South Africa
SSD;31.6;4.85;Sub-Saharan Africa ;South Sudan;South Sudan;South Sudan; South Sudan
ESP;-3.70327;40.4167;Europe & Central Asia;Spain;Spain;Spain; Spain
LKA;79.8528;6.92148;South Asia;Sri Lanka;Sri Lanka;Sri Lanka; Sri Lanka
LKA;79.8528;6.92148;South Asia;Sri Lanka;LTTE (Sri Lanka)*;;
KNA;-62.7309;17.3;Latin America & Caribbean ;St, Kitts and Nevis;Saint Kitts and Nevis;Saint Kitts and Nevis; Saint Kitts and Nevis
LCA;-60.9832;14;Latin America & Caribbean ;St, Lucia;;; Saint Lucia
MAF;;;Latin America & Caribbean ;St, Martin (French part);;;
VCT;-61.2653;13.2035;Latin America & Caribbean ;St, Vincent and the Grenadines;;;
SDN;32.5363;15.5932;Sub-Saharan Africa ;Sudan;Sudan;;
SDN;32.5363;15.5932;Sub-Saharan Africa ;Sudan;SPLA (Sudan)*;Sudan; Sudan
SUR;-55.1679;5.8232;Latin America & Caribbean ;Suriname;Suriname;Suriname; Suriname
SWE;18.0645;59.3327;Europe & Central Asia;Sweden;Sweden;Sweden; Sweden
CHE;7.44821;46.948;Europe & Central Asia;Switzerland;Switzerland;Switzerland; Switzerland
SYR;36.3119;33.5146;Middle East & North Africa;Syrian Arab Republic;Syria;Syrian Arab Republic; Syrian Arab Republic
SYR;36.3119;33.5146;Middle East & North Africa;Syrian Arab Republic;Syria rebels*;;
TWN;;;East Asia & Pacific;Taiwan, China;Taiwan;;
TJK;68.7864;38.5878;Europe & Central Asia;Tajikistan;Tajikistan;Tajikistan; Tajikistan
TZA;35.7382;-6.17486;Sub-Saharan Africa ;Tanzania;Tanzania;United Republic of Tanzania; Tanzania (United Republic of)
THA;100.521;13.7308;East Asia & Pacific;Thailand;Thailand;Thailand; Thailand
TLS;125.567;-8.56667;East Asia & Pacific;Timor-Leste;Timor-Leste;Timor-Leste; Timor-Leste
TGO;1.2255;6.1228;Sub-Saharan Africa ;Togo;Togo;Togo; Togo
TON;-175.216;-21.136;East Asia & Pacific;Tonga;Tonga;Tonga; Tonga
TTO;-61.4789;10.6596;Latin America & Caribbean ;Trinidad and Tobago;Trinidad and Tobago;Trinidad and Tobago; Trinidad and Tobago
TUN;10.21;36.7899;Middle East & North Africa;Tunisia;Tunisia;Tunisia; Tunisia
TUR;32.3606;39.7153;Europe & Central Asia;Turkey;Turkey;Turkey; Turkey
TUR;32.3606;39.7153;Europe & Central Asia;Turkey;PKK (Turkey)*;;
TKM;58.3794;37.9509;Europe & Central Asia;Turkmenistan;Turkmenistan;Turkmenistan; Turkmenistan
TCA;-71.141389;21.4602778;Latin America & Caribbean ;Turks and Caicos Islands;;Turks and Caicos Islands;
TUV;179.089567;-8.6314877;East Asia & Pacific;Tuvalu;Tuvalu;Tuvalu;
UGA;32.5729;0.314269;Sub-Saharan Africa ;Uganda;Uganda;Uganda; Uganda
UGA;32.5729;0.314269;Sub-Saharan Africa ;Uganda;LRA (Uganda)*;;
UKR;30.5038;50.4536;Europe & Central Asia;Ukraine;Ukraine;Ukraine; Ukraine
UKR;30.5038;50.4536;Europe & Central Asia;Ukraine;Ukraine Rebels*;;
ARE;54.3705;24.4764;Middle East & North Africa;United Arab Emirates;UAE;United Arab Emirates; United Arab Emirates
GBR;-0.126236;51.5002;Europe & Central Asia;United Kingdom;United Kingdom;United Kingdom; United Kingdom
GBR;-0.126236;51.5002;Europe & Central Asia;United Kingdom;;Montserrat;
GBR;-0.126236;51.5002;Europe & Central Asia;United Kingdom;Provisional IRA (UK)*;Falkland Islands (Malvinas);
GBR;-0.126236;51.5002;Europe & Central Asia;United Kingdom;;Saint Helena;
GBR;-0.126236;51.5002;Europe & Central Asia;United Kingdom;;Saint Lucia;
USA;-77.032;38.8895;North America;United States;United States;United States of America; United States
URY;-56.0675;-34.8941;Latin America & Caribbean ;Uruguay;Uruguay;Uruguay; Uruguay
UZB;69.269;41.3052;Europe & Central Asia;Uzbekistan;Uzbekistan;Uzbekistan; Uzbekistan
VUT;168.321;-17.7404;East Asia & Pacific;Vanuatu;Vanuatu;Vanuatu; Vanuatu
VEN;-69.8371;9.08165;Latin America & Caribbean ;Venezuela, RB;Venezuela;Venezuela (Bolivarian Republic of); Venezuela (Bolivarian Republic of)
VNM;105.825;21.0069;East Asia & Pacific;Vietnam;Viet Nam;Viet Nam; Viet Nam
VNM;105.825;21.0069;East Asia & Pacific;Vietnam;South Vietnam;;
VNM;105.825;21.0069;East Asia & Pacific;Vietnam;Viet Cong (South Vietnam)*;;
VIR;-64.8963;18.3358;Latin America & Caribbean ;Virgin Islands (U,S,);;United States Virgin Islands;
PSE;;;Middle East & North Africa;West Bank and Gaza;;;
YEM;44.2075;15.352;Middle East & North Africa;Yemen, Rep,;Yemen;Yemen; Yemen
YEM;44.2075;15.352;Middle East & North Africa;Yemen, Rep,;Huthi rebels (Yemen)*;;
YEM;44.2075;15.352;Middle East & North Africa;Yemen, Rep,;South Yemen;;
